企业名,成立,地区,赛道
医准智能,2017,北京,数字医疗
杰毅生物,2019,杭州,数字医疗
法奥机器人,2019,苏州,机器人
奥飞乐思,2021,天津,数字文娱
埃芯半导体*,2020,深圳,集成电路
九识智能,2021,苏州,自动驾驶
上海电气储能*,2019,合肥,清洁能源
上海翊科*,2020,上海,创新医疗器械
月之暗面*,2023,北京,人工智能
新施诺,2022,苏州,工业互联网
屹信航天,2018,无锡,商业航天
拓创生物Tavotek,2019,苏州,创新药
颐坤生物,2019,苏州,数字医疗
砺算科技,2021,南京,集成电路
积加ERP,2020,深圳,企业数字运营
光势能新能源*,2023,合肥,清洁能源
特思迪*,2020,北京,集成电路
芯三代,2020,苏州,集成电路
杭泰数智*,2022,杭州,清洁能源
硅基智能,2017,南京,人工智能
多玛医药,2021,苏州,创新药
士泽生物,2021,苏州,数字医疗
至讯创新,2021,无锡,集成电路
力通通信,2019,北京,集成电路
海龟爸爸Hipapa*,2019,广州,网红爆品
未磁科技,2020,北京,创新医疗器械
恩易浦*,2021,苏州,清洁能源
汉韦聚合物,2019,常州,新材料
灵犀科技*,2020,青岛,人工智能
普方生物,2019,苏州,创新药
武汉敏声,2019,武汉,集成电路
芯砺智能,2021,上海,集成电路
飞轮科技,2021,北京,大数据
极电光能,2020,无锡,清洁能源
福晴医疗*,2020,合肥,创新医疗器械
重投天科,2020,深圳,集成电路
中信科智联*,2021,重庆,智能网联
映恩生物,2020,苏州,创新药
印芯半导体,2019,广州,集成电路
奕行智能,2022,广州,集成电路
进迭时空*,2021,杭州,集成电路
太初元基*,2019,无锡,人工智能
北斗智联,2019,重庆,智能网联
锐思智芯,2019,深圳,集成电路
曲速科技,2019,绍兴,集成电路
芯带科技*,2021,无锡,集成电路
华毅乐健,2019,苏州,创新药
雪玲妃,2021,南昌,网红爆品
博湃半导体*,2021,苏州,集成电路
立琻半导体*,2021,苏州,集成电路
科望医药,2018,苏州,创新药
云途半导体,2020,苏州,集成电路
宏景智驾,2018,杭州,自动驾驶
圣因生物,2021,苏州,创新药
蓝固新能源*,2021,常州,新材料
芯享科技,2018,无锡,集成电路
芯河半导体,2019,无锡,集成电路
瑞风生物,2019,广州,数字医疗
隐冠半导体,2019,上海,集成电路
循环智能,2016,北京,人工智能
集睿致远*,2021,厦门,集成电路
恒湾科技,2019,成都,5G通信
益思芯科技*,2020,上海,集成电路
吉锐科技,2019,赣州,动力电池
极视角,2015,青岛,人工智能
核芯达,2020,北京,集成电路
萌兽医馆,2018,天津,生活服务
微岩医学,2019,北京,数字医疗
赞荣医药,2019,苏州,创新药
微纳核芯,2021,杭州,集成电路
我的万物集MyMRO,2020,广州,产业互联网
旗芯微半导体,2020,苏州,集成电路
英诺达,2020,成都,集成电路
海得智慧能源*,2022,嘉兴,清洁能源
图灵量子,2021,上海,量子科技
征祥医药,2020,南京,创新药
瑞莱谱医疗*,2019,杭州,数字医疗
泰楚生物*,2020,上海,创新药
镨芯电子,2020,嘉兴,集成电路
无问芯穹*,2023,上海,人工智能
劢微机器人,2019,深圳,机器人
国科能源*,2022,滁州,清洁能源
朗信启昇*,2020,苏州,创新药
大有时空*,2021,安庆,智慧出行
中科闻歌,2017,北京,大数据
利氪科技,2022,广州,新能源汽车
创芯慧联,2019,南京,集成电路
上海翊科*,2020,上海,创新医疗器械
月之暗面*,2023,北京,人工智能
新施诺,2022,苏州,工业互联网
屹信航天,2018,无锡,商业航天
拓创生物Tavotek,2019,苏州,创新药
颐坤生物,2019,苏州,数字医疗
砺算科技,2021,南京,集成电路
积加ERP,2020,深圳,企业数字运营
光势能新能源*,2023,合肥,清洁能源
特思迪*,2020,北京,集成电路
芯三代,2020,苏州,集成电路
杭泰数智*,2022,杭州,清洁能源
硅基智能,2017,南京,人工智能
多玛医药,2021,苏州,创新药
士泽生物,2021,苏州,数字医疗
至讯创新,2021,无锡,集成电路
力通通信,2019,北京,集成电路
海龟爸爸Hipapa*,2019,广州,网红爆品
未磁科技,2020,北京,创新医疗器械
恩易浦*,2021,苏州,清洁能源
汉韦聚合物,2019,常州,新材料
生命盾医疗*,2022,苏州,创新医疗器械
云脉芯联*,2021,上海,集成电路
挪瓦咖啡,2019,上海,网红爆品
宽能半导体*,2021,南京,集成电路
京宇集团,2020,北京,创新药
SynSense时识科技*,2020,南京,集成电路
国汽智控,2020,北京,智能网联
天辰生物,2020,苏州,创新药
艾凯利元,2021,苏州,创新药
与光科技,2020,北京,集成电路
青的新材*,2021,南通,新材料
芯梦半导体*,2019,苏州,集成电路
芯慧联*,2019,苏州,集成电路
芯行纪,2020,南京,集成电路
国创科*,2020,武汉,高端智能装备与器件
泰矽微,2019,上海,集成电路
百林科*,2021,上海,创新药
芯瞳半导体*,2019,烟台,集成电路
赛诺神畅*,2020,苏州,创新医疗器械
沙砾生物*,2020,苏州,创新药
润邦半导体*,2019,苏州,集成电路
广域铭岛*,2020,重庆,工业互联网
赛恩领动*,2021,上海,自动驾驶
领慧立芯,2020,苏州,集成电路
昆高新芯,2019,苏州,集成电路
领猫SCM,2020,杭州,企业数字运营
随幻科技*,2020,上海,VR/AR
爱博医疗机器人*,2020,深圳,创新医疗器械
迈宝嘉成*,2020,苏州,产业互联网
捷螺智能*,2020,苏州,机器人
培风图南*,2021,苏州,集成电路
晶视智能,2019,北京,集成电路
多玛医药,2021,苏州,创新药
士泽生物,2021,苏州,数字医疗
至讯创新,2021,无锡,集成电路
力通通信,2019,北京,集成电路
海龟爸爸Hipapa*,2019,广州,网红爆品
未磁科技,2020,北京,创新医疗器械
恩易浦*,2021,苏州,清洁能源
汉韦聚合物,2019,常州,新材料
乐普钠电*,2022,上海,新材料
至控科技*,2019,杭州,工业互联网
胖虎科技,2015,北京,新零售
升哲科技,2014,北京,智慧城市
摩珈生物,2018,广安,合成生物
康龙生物*,2020,宁波,创新药
